class	num_samples
冗	20
写	12
冠	20
冬	12
冷	12
准	20
凍	12
凝	20
凡	20
処	12
凶	20
出	40
函	12
刀	20
刃	20
分	40
切	40
刈	12
刊	12
刑	12
列	40
初	20
判	40
別	40
利	40
到	12
制	40
刷	12
券	12
刺	12
刻	12
則	12
削	20
前	40
剖	20
剛	20
剣	12
剤	12
副	12
剰	12
割	40
創	12
劇	40
力	40
功	12
加	40
劣	12
助	40
努	12
励	12
労	40
効	12
勇	12
勉	12
動	40
勘	20
務	40
勝	40
募	40
勢	12
勤	12
勧	12
勲	20
包	12
化	40
北	40
匠	20
匹	20
区	40
医	40
匿	20
十	40
千	40
午	40
半	40
卑	20
卒	12
卓	12
協	40
南	40
単	40
博	12
占	12
印	12
危	12
即	12
却	12
卵	20
卸	12
厄	12
厘	12
厚	12
原	40
厳	12
去	40
参	40
及	12
友	12
双	20
反	40
収	40
叔	20
取	40
受	40
叙	20
口	40
古	40
句	12
叫	20
召	12
可	40
台	12
史	12
右	12
号	12
司	12
各	40
合	40
吉	40
同	40
名	40
后	20
吏	12
向	40
君	12
吟	20
否	12
含	12
吸	12
吹	12
呂	20
呈	12
呉	12
告	40
周	12
味	12
呼	12
命	12
咋	20
和	40
咲	20
哀	12
品	40
員	40
哲	20
唄	12
唐	20
唯	20
唱	12
商	40
問	40
啓	20
善	12
喚	12
喜	12
喪	20
喫	12
営	40
嘆	12
嘉	20
嘱	12
器	12
噴	20
囚	20
四	40
回	40
因	12
団	40
困	12
囲	12
図	12
固	12
国	40
圏	20
園	40
土	40
圧	12
在	40
地	40
坂	12
均	12
坊	20
坑	12
坪	12
垂	20
型	12
垣	20
埋	12
城	12
域	12
執	12
培	20
基	12
埼	20
堀	12
堂	12
堅	12
堤	12
報	40
場	40
堺	20
塁	12
塊	20
塔	20
塗	20
塚	20
塩	12
境	12
墓	20
増	40
墜	20
墨	20
墳	20
墾	12
壁	20
壇	12
壊	12
壌	20
士	12
壮	12
声	40
壱	20
売	40
変	40
夏	12
夕	12
外	40
多	40
夜	40
夢	20
大	40
天	40
太	12
夫	40
央	12
失	12
奄	20
奇	12
奈	20
奉	12
奏	12
契	12
奔	20
奥	12
奨	12
奪	12
奮	12
女	40
好	12
如	12
妃	20
妊	20
妙	12
妥	12
妨	12
妹	12
妻	12
姉	12
始	40
姓	12
委	40
姫	12
姿	12
威	20
娘	12
娠	20
娯	12
婆	20
婚	12
婦	40
婿	20
媒	20
媛	20
嫁	20
嬉	20
嬢	20
子	40
字	40
存	12
孝	12
孤	20
学	40
孫	20
宅	12
宇	12
守	12
安	40
完	12
宏	20
宗	12
官	40
宙	12
定	40
宜	12
宝	12
実	40
客	12
宣	12
室	12
宮	40
宰	20
害	40
宴	12
宵	20
家	40
容	40
宿	40
寂	20
寄	12
密	12
富	40
寒	12
寛	12
寝	12
察	40
審	12
寮	20
寸	12
寺	12
対	40
寿	12
封	12
専	12
射	20
将	12
尉	20
尊	20
尋	20
導	12
小	40
少	40
尚	12
就	12
尺	12
尻	20
尼	20
尽	12
尾	20
尿	20
局	40
居	20
届	20
屋	40
展	20
属	20
層	20
履	20
山	40
岐	20
岡	40
岩	20
岬	20
岳	20
岸	20
峠	20
峡	20
峰	20
島	40
崎	40
崩	20
嵐	20
嵩	20
嶋	20
嶺	20
川	40
州	40
巡	20
巣	20
工	40
左	40
巧	20
巨	12
差	20
己	20
巳	20
巻	20
市	40
布	20
帆	20
希	20
帝	20
帥	20
師	20
席	40
帯	20
帰	20
帳	20
常	40
帽	20
幅	20
幌	20
幕	20
幡	20
幣	20
干	20
平	40
年	40
幸	20
幹	20
幻	20
幼	20
幽	20
幾	20
庁	40
広	40
庄	20
床	20
序	20
底	20
店	40
府	40
度	40
座	20
庫	20
庭	20
庵	20
庶	20
康	12
廃	20
廉	20
廊	20
延	20
廷	20
建	40
弁	12
弊	20
式	40
弓	20
弔	20
引	40
弘	20
弟	12
弥	20
弦	20
弱	20
張	40
強	40
弾	20
当	40
形	20
彦	20
彩	20
彫	20
彰	20
影	20
役	40
彼	20
往	20
征	20
径	20
待	40
律	20
後	40
徐	20
徒	20
従	40
得	40
御	20
復	20
循	20
微	40
徳	20
徴	20
心	40
必	40
忌	20
忍	20
志	20
忘	20
忙	20
応	40
忠	20
快	20
念	20
怒	20
怖	20
思	40
怠	20
急	40
性	20
怪	20
恋	20
恐	20
恒	20
恥	20
恨	20
恩	20
息	20
恵	20
悔	20
悟	20
患	20
悦	20
悩	20
悪	40
悲	20
悼	20
情	40
惑	20
惜	20
惨	20
惰	20
想	20
愁	20
愉	20
意	40
愚	20
愛	40
感	40
慈	20
態	40
慌	20
慎	40
慕	20
慢	20
慣	20
慨	20
慮	20
慰	20
慶	20
憂	20
憎	20
憩	20
憲	12
憶	20
憾	20
懇	20
懐	20
懲	20
懸	20
成	40
我	20
戒	20
戦	40
戯	20
戸	40
戻	20
房	20
所	40
扇	20
手	40
才	20
打	40
払	40
扱	20
扶	20
批	20
承	12
技	20
抄	20
抑	20
投	40
抗	20
折	20
抜	20
択	20
披	20
抱	20
抵	20
押	20
抽	20
担	20
拍	20
拒	20
拓	20
拘	20
拙	20
招	40
拝	20
拠	20
拡	20
括	20
拾	40
持	40
指	20
挑	20
挙	40
振	40
捕	40
捜	20
捨	20
据	20
掃	20
授	20
掌	20
排	20
掘	20
掛	20
採	40
探	20
接	20
控	20
推	20
措	20
掲	20
描	20
提	40
揖	20
揚	20
換	20
握	20
揮	20
援	20
揺	20
損	20
搬	20
携	20
搾	20
摂	20
摘	20
摩	20
撃	20
撤	20
撮	20
撲	20
擁	20
操	20
擦	20
擬	20
支	40
改	40
攻	20
放	40
政	40
故	20
敏	20
救	20
敗	20
教	40
敢	20
散	40
敦	20
敬	20
数	40
整	40
敵	20
敷	20
文	40
斉	20
斎	20
斐	20
斗	20
料	40
斜	20
斥	20
断	40
新	40
方	40
施	40
旅	20
旋	20
族	20
旗	20
既	20
日	40
旧	20
旨	20
早	40
旬	12
旭	20
昇	20
昌	20
明	40
易	20
昔	20
星	20
映	40
春	40
昨	40
昭	40
是	20
昼	20
時	40
晃	20
晩	20
普	20
景	20
晴	20
晶	20
智	20
暁	20
暇	20
暑	20
暖	20
暗	20
暦	12
暫	20
暮	20
暴	20
曇	20
曜	20
曲	20
更	20
書	40
曽	20
替	20
最	40
月	40
有	40
服	20
朗	20
望	40
朝	40
期	40
木	40
未	40
末	20
本	40
札	20
机	20
朽	20
杉	20
李	32
材	20
村	40
束	20
条	40
来	40
杯	20
東	40
杵	20
杷	20
松	40
板	20
枇	20
析	20
枕	20
林	40
枚	20
果	40
枝	20
枯	20
架	20
柄	20
柏	20
某	20
染	20
柔	20
柱	20
柳	20
柴	20
査	40
栃	20
栄	20
栖	20
栗	20
校	40
株	40
核	20
根	20
格	40
栽	20
桂	20
桃	20
案	40
桐	20
桑	20
桜	20
桟	20
桧	20
梅	20
梨	20
械	40
梶	20
棄	20
棋	20
棒	20
棚	20
棟	20
森	40
植	20
椎	20
検	40
楠	20
業	40
極	40
楼	20
楽	40
概	20
榎	20
榛	20
構	20
槍	20
様	20
樋	20
標	20
模	20
権	40
横	40
樹	20
樽	20
橋	40
橘	20
機	40
欄	20
欠	20
次	40
欧	20
欲	20
欺	20
款	20
歌	20
歓	20
止	40
正	40
武	20
歩	20
歯	20
歳	20
歴	12
死	40
殉	20
殊	20
残	20
殖	20
殴	20
段	20
殺	40
殿	20
母	20
毎	20
毒	20
比	12
毛	20
氏	40
民	40
気	40
水	40
氷	20
永	20
汁	20
求	40
汐	20
汗	20
汚	20
江	20
池	20
決	40
汽	20
沈	20
沖	20
没	20
沢	20
河	40
沸	20
油	20
治	40
沼	20
沿	20
況	40
泉	20
泊	20
泌	20
法	40
波	20
泣	20
泥	20
注	40
泰	20
泳	20
洋	20
洗	20
洞	20
津	40
洪	20
洲	20
活	40
派	40
流	40
浄	20
浅	20
浜	40
浦	20
浩	20
浪	20
浮	20
浴	20
海	40
浸	20
消	40
涙	20
涯	20
液	20
涼	20
淀	20
淡	20
深	20
淳	20
淵	20
混	20
添	20
清	40
渇	20
済	40
渉	20
渋	20
渓	20
渡	20
渥	20
渦	20
温	20
測	20
港	40
湊	20
湖	20
湘	20
湯	20
湾	20
湿	20
満	40
源	20
準	40
溝	20
溶	20
滅	60
滋	20
滑	20
滝	20
滞	20
滴	20
漁	20
漂	20
漏	20
演	40
漢	20
漫	20
漸	20
潔	20
潜	20
潟	20
潤	20
潮	20
澄	20
激	40
濁	20
濃	20
瀦	20
瀬	20
灘	20
火	40
灯	20
灰	20
災	40
炉	20
炊	20
炎	20
炭	20
点	40
為	20
烈	20
無	40
焦	20
然	40
焼	20
煙	20
照	20
煮	20
熊	20
熟	20
熱	20
燃	20
燥	20
爆	20
父	12
爺	20
片	20
版	20
牛	20
牟	20
牧	20
物	40
牲	20
特	40
犠	20
犬	20
犯	20
状	40
狂	20
狩	20
独	20
狭	20
狸	20
猛	20
猟	20
献	20
猶	20
猷	20
獄	20
獣	20
獲	20
玄	12
率	12
玉	20
王	20
玖	20
珂	20
珍	20
珠	20
班	20
現	40
球	40
理	40
琉	20
琴	20
琵	20
琶	20
瑞	20
環	20
甘	20
生	40
産	40
用	40
田	40
由	40
甲	20
申	20
男	40
町	40
画	40
界	40
畑	20
畔	20
留	20
畜	20
畝	20
略	20
番	40
異	20
畳	20
畿	20
疎	20
疑	20
疫	20
疲	20
疾	20
病	40
症	20
痘	20
痛	20
痢	20
療	20
癖	20
発	40
登	20
白	20
百	40
的	40
皆	20
皇	20
皮	20
盆	20
益	40
盗	20
盛	40
盟	20
監	40
盤	20
目	40
盲	20
直	20
相	40
盾	20
省	40
看	20
県	40
真	40
眠	20
眼	20
着	40
睡	20
督	40
瞬	20
矛	20
矢	20
知	40
短	20
矯	20
石	40
砂	20
研	40
砕	20
砲	20
破	20
砺	20
硝	20
硫	20
硬	20
碁	20
碑	20
碧	20
確	40
磁	20
磐	20
磨	20
磯	20
礁	20
礎	20
示	40
礼	20
社	40
祈	20
祉	20
祐	20
祖	20
祝	20
神	40
祢	20
祥	20
票	40
祭	20
禁	20
禅	20
禍	20
福	40
秀	20
私	20
秋	20
科	40
秒	20
秘	20
租	20
秦	20
秩	20
称	20
移	40
程	20
税	40
稚	20
種	40
稲	20
稼	20
稿	20
穀	20
穂	20
積	40
穏	20
穫	20
穴	20
究	40
空	12
突	40
窃	12
窒	20
窓	12
窪	20
窮	20
窯	20
立	40
竜	20
章	20
童	40
端	20
競	20
竹	20
笑	20
笛	20
笠	20
符	20
第	40
笹	20
筆	20
等	40
筋	20
筑	20
筒	20
答	40
策	40
算	40
管	40
箱	20
節	20
範	20
築	20
篠	20
篤	20
簡	20
籍	20
米	40
粉	40
粋	20
粒	20
粕	20
粗	20
粘	20
粛	20
粟	20
粧	20
精	40
糖	20
糧	20
糸	40
系	20
糾	20
紀	20
約	40
紅	20
紋	20
納	20
純	20
紙	20
級	40
素	20
紡	40
索	20
紫	20
累	20
細	20
紳	20
紹	20
紺	20
終	40
組	40
経	40
結	40
絞	20
絡	20
給	40
統	20
絵	20
絶	40
絹	20
継	20
続	40
維	20
綱	20
網	20
綾	20
綿	40
緊	20
総	40
緑	20
緒	20
線	40
締	40
編	20
緩	20
緯	20
練	20
縁	20
縄	20
縛	20
縦	20
縫	20
縮	20
績	40
繁	20
繊	20
織	40
繕	20
繭	20
繰	20
罪	20
置	40
罰	20
署	40
羅	20
羊	20
美	40
群	20
義	40
羽	20
翁	20
翌	20
習	40
翻	20
翼	20
老	20
考	40
者	40
耐	20
耕	20
耗	20
耳	20
耶	20
聖	20
聞	40
聴	20
職	40
肉	20
肖	20
肝	20
股	20
肥	20
肩	20
肪	20
肯	20
育	40
肺	20
胃	20
胆	20
背	20
胎	20
胞	20
胴	20
胸	20
能	40
脂	20
脅	20
脇	20
脈	20
脊	20
脚	20
脱	20
脳	20
腐	20
腕	20
腰	20
腸	20
腹	20
膚	20
膜	20
膨	20
臓	20
臣	20
臨	20
自	40
臭	20
至	20
致	20
臼	20
興	12
舌	20
舎	12
舗	12
舞	20
舟	20
航	20
般	40
舶	20
船	20
艇	20
艦	20
良	20
色	20
芋	20
芝	20
芦	20
花	40
芳	20
芸	20
芽	20
苅	20
苑	20
苗	20
若	20
苦	20
苫	20
英	40
茂	20
茅	20
茨	20
茶	20
草	20
荒	20
荘	20
荷	20
荻	20
菅	20
菊	20
菌	20
菓	20
菜	20
華	20
菱	20
萠	20
萩	20
落	40
葉	20
著	20
葛	20
葬	20
蒲	20
蒸	20
蓄	20
蔵	40
蕃	20
薄	40
薦	20
薩	20
薪	20
薫	20
薬	20
藤	20
蘇	20
蘭	20
虎	20
虐	20
虚	20
虫	20
蚊	20
蚕	20
融	40
蟹	20
血	20
衆	40
行	40
術	20
街	20
衛	40
衝	20
衡	20
衣	20
表	40
衰	12
衷	20
袋	20
被	40
裁	40
裂	20
装	20
裏	12
裕	20
補	40
裸	20
製	40
複	20
襲	20
西	40
要	40
覆	20
見	40
規	20
視	40
覚	20
覧	20
親	20
観	20
角	20
解	40
触	20
言	20
訂	20
計	40
討	20
訓	20
託	20
記	40
訟	20
訪	20
設	40
許	40
訳	20
訴	20
診	20
証	40
詐	20
評	20
詞	20
詠	20
試	40
詩	20
詰	20
話	40
該	20
詳	20
誇	20
誉	20
誌	20
認	40
誓	20
誕	20
誘	20
語	40
誠	20
誤	20
説	40
読	40
誰	20
課	40
調	40
談	40
請	20
諌	20
諏	20
論	40
諭	20
諮	20
諸	40
諾	20
謀	20
謄	20
謙	20
講	40
謝	20
謡	20
謹	20
識	20
譜	20
警	40
議	40
譲	20
護	20
谷	20
豆	20
豊	20
豚	20
象	20
豪	20
貝	20
貞	20
負	20
財	40
貢	20
貧	20
貨	20
販	40
貫	20
責	40
貯	20
貴	20
買	40
貸	20
費	40
貿	20
賀	20
賃	20
賄	20
資	40
賊	20
賓	20
賛	20
賜	20
賞	20
賠	20
賢	20
賦	20
質	40
購	20
贈	20
赤	20
赦	20
走	20
赴	20
起	40
超	20
越	20
趣	20
足	20
距	20
跡	20
路	40
跳	20
践	20
踊	20
踏	20
躍	20
身	20
車	40
軌	20
軍	40
軒	20
軟	20
転	40
軸	20
軽	20
較	20
載	20
輝	20
輩	20
輪	60
轄	20
辛	20
辞	20
辰	20
辱	20
農	40
辺	20
辻	20
込	20
迎	20
近	40
返	20
迫	20
迭	20
述	20
迷	20
追	40
退	20
送	40
逃	20
逆	20
透	20
逐	20
逓	20
途	20
逗	20
通	40
速	20
造	40
連	40
逮	40
週	20
進	40
逸	20
遂	20
遅	20
遇	20
遊	20
運	40
過	40
道	40
達	40
違	20
遠	40
遣	20
適	40
遭	20
選	40
遺	20
避	20
還	20
那	20
邦	20
邪	20
邸	20
郊	20
郎	40
郡	40
部	40
郭	20
郵	40
郷	20
都	40
酌	20
配	40
酒	20
酔	20
酢	20
酪	20
酬	20
酵	20
酷	20
酸	20
醜	20
醸	20
釈	20
里	20
重	40
野	40
量	20
金	40
釜	20
針	20
釣	20
釧	20
鈍	20
鈴	20
鉄	40
鉛	20
鉱	20
銀	40
銃	20
銅	20
銑	20
銘	20
銭	20
鋭	20
鋳	20
鋼	20
錘	20
錠	20
錦	20
録	20
鍋	20
鍛	20
鎌	20
鎖	20
鎮	20
鏡	20
鐘	20
鑑	20
長	40
門	40
閉	20
開	40
閑	20
間	40
関	40
閣	40
閥	20
閲	20
闘	20
阜	20
阪	40
防	40
阻	20
阿	20
降	20
限	40
陛	20
院	40
陣	20
除	40
陥	20
陰	20
陳	20
陵	20
陶	20
陸	20
険	20
陽	20
隅	20
隆	20
隊	20
階	20
随	20
隔	20
際	40
障	20
隠	20
隣	20
隻	20
雄	20
雅	20
集	40
雇	20
雌	20
雑	20
離	20
難	40
雨	20
雪	20
雲	20
零	20
雷	20
電	40
需	40
震	20
霊	20
霜	20
霞	20
霧	20
露	20
青	40
靖	20
静	40
非	40
面	40
革	20
鞍	20
韓	20
音	20
響	20
頂	20
項	20
順	20
須	20
預	20
領	40
頭	20
頼	20
題	40
額	40
顔	20
顕	20
願	20
類	20
顧	20
風	40
飛	12
食	40
飢	20
飯	20
飲	20
飼	20
飽	20
飾	20
養	20
餓	20
館	12
首	40
香	20
馬	20
駅	40
駆	20
駐	20
駒	20
駿	20
騎	20
騒	20
験	40
騨	20
騰	20
驚	20
骨	20
髄	20
高	40
髪	20
鬼	20
魂	20
魅	20
魔	20
魚	20
魯	20
鮮	20
鯖	20
鯨	20
鳥	20
鳴	20
鴨	20
鵜	20
鶏	20
鶴	20
鷲	20
鷹	20
鹿	20
麗	20
麦	20
麻	20
黄	20
黒	20
黙	20
鼓	20
鼻	20
齢	20
！	20
％	20
０	20
１	20
２	20
３	20
４	20
５	20
６	20
７	20
８	20
９	20
？	20
Ａ	20
Ｂ	20
Ｃ	20
Ｄ	20
Ｅ	20
Ｆ	20
Ｇ	20
Ｈ	20
Ｉ	20
Ｊ	20
Ｋ	20
Ｌ	20
Ｍ	20
Ｎ	20
Ｏ	20
Ｐ	20
Ｑ	20
Ｒ	20
Ｓ	20
Ｔ	20
Ｕ	20
Ｖ	20
Ｗ	20
Ｘ	20
Ｙ	20
Ｚ	20
｜	20
